"","Channel 1 - Elbow Last (C)","Channel 2 - Forearm Last (C)","Channel 3 - Knuckle Last (C)","Channel 4 - Blade of Hand Last (C)","Channel 5 - Thumb Last (C)","Channel 6 - Cupping Last (C)","Channel 7 - Palm Last (C)","Channel 8 - Elbow (lower) Last (C)"
"1691595921","21.431","21.530","21.718","22.001","22.244","22.421","22.126","21.847"
"1691595922","21.424","21.527","21.703","21.994","22.237","22.414","22.127","21.851"
"1691595923","21.420","21.527","21.704","21.994","22.234","22.421","22.131","21.855"
"1691595924","21.417","21.524","21.704","21.991","22.219","22.407","22.116","21.844"
"1691595925","21.402","21.524","21.697","21.984","22.216","22.403","22.113","21.842"
"1691595926","21.410","21.524","21.693","21.984","22.220","22.389","22.109","21.841"
"1691595927","21.403","21.521","21.701","21.977","22.238","22.389","22.106","21.833"
"1691595928","21.414","21.517","21.701","21.984","22.238","22.396","22.102","21.837"
"1691595929","21.426","21.532","21.705","21.981","22.228","22.386","22.117","21.841"
"1691595930","21.422","21.540","21.705","21.978","22.224","22.386","22.118","21.853"
"1691595931","21.411","21.536","21.695","21.971","22.202","22.375","22.114","21.834"
"1691595932","21.400","21.533","21.695","21.971","22.199","22.372","22.121","21.834"
"1691595933","21.408","21.533","21.695","21.967","22.199","22.379","22.118","21.835"
"1691595934","21.419","21.537","21.691","21.975","22.203","22.379","22.115","21.828"
"1691595935","21.423","21.545","21.688","21.982","22.203","22.391","22.119","21.839"
"1691595936","21.434","21.545","21.692","21.986","22.200","22.384","22.115","21.843"
"1691595937","21.431","21.552","21.707","21.986","22.222","22.398","22.119","21.847"
"1691595938","21.442","21.549","21.711","21.976","22.204","22.403","22.119","21.843"
"1691595939","21.439","21.545","21.696","21.969","22.200","22.381","22.178","21.843"
"1691595940","21.439","21.549","21.719","21.965","22.219","22.451","23.742","21.862"
"1691595941","21.450","21.557","21.763","21.973","22.208","22.624","24.890","21.866"
"1691595942","21.458","21.586","21.818","21.965","22.208","22.889","25.523","21.862"
"1691595943","21.454","21.679","21.918","21.962","22.201","23.272","26.171","21.859"
"1691595944","21.447","21.745","21.955","21.958","22.205","23.390","26.352","21.855"
"1691595945","21.447","21.778","22.051","21.959","22.201","23.614","26.620","21.845"
"1691595946","21.433","21.830","22.161","21.966","22.202","23.828","26.838","21.849"
"1691595947","21.437","21.897","22.412","21.959","22.180","24.281","27.151","21.841"
"1691595948","21.437","21.930","22.519","21.959","22.184","24.436","27.272","21.838"
"1691595949","21.437","21.945","22.615","21.960","22.184","24.557","27.379","21.835"
"1691595950","21.430","21.960","22.703","21.963","22.195","24.686","27.471","21.838"
"1691595951","21.430","21.923","22.736","21.956","22.196","24.591","26.817","21.835"
"1691595952","21.427","21.853","22.729","21.964","22.203","24.366","26.298","21.842"
"1691595953","21.434","21.817","22.696","21.949","22.174","24.160","25.879","21.842"
"1691595954","21.434","21.799","22.656","21.946","22.166","23.969","25.559","21.850"
"1691595955","21.449","21.784","22.619","21.928","22.170","23.822","25.305","21.861"
"1691595956","21.446","21.755","22.542","21.946","22.167","23.569","24.930","21.876"
"1691595957","21.461","21.748","22.517","21.943","22.160","23.466","24.776","21.888"
"1691595958","21.476","21.741","22.484","21.939","22.160","23.389","24.651","21.888"
"1691595959","21.472","21.726","22.451","21.943","22.142","23.327","24.537","21.895"
"1691595960","21.472","21.719","22.455","21.932","22.135","23.268","24.434","21.899"
"1691595961","21.473","21.712","22.433","21.936","22.153","23.205","24.335","21.903"
"1691595962","21.480","21.716","22.407","21.933","22.165","23.162","24.258","21.896"
"1691595963","21.466","21.690","22.378","21.937","22.150","23.129","24.177","21.893"
"1691595964","21.488","21.687","22.389","21.878","22.172","23.077","24.108","21.896"
"1691595965","21.492","21.680","22.364","22.007","22.195","23.015","24.012","21.915"
"1691595966","21.492","21.695","22.342","21.985","22.184","22.993","23.950","21.923"
"1691595967","21.500","21.684","22.339","21.974","22.169","22.953","23.902","21.927"
"1691595968","21.507","21.691","22.331","21.963","22.147","22.931","23.855","21.930"
"1691595969","21.515","21.695","22.328","21.949","22.140","22.906","23.818","21.942"
"1691595970","21.515","21.688","22.310","21.953","22.126","22.876","23.781","21.942"
"1691595971","21.515","21.684","22.299","21.957","22.122","22.847","23.741","21.942"
"1691595972","21.515","21.677","22.288","21.935","22.111","22.811","23.708","21.942"
"1691595973","21.519","21.670","22.274","21.920","22.086","22.796","23.679","21.954"
"1691595974","21.538","21.674","22.248","21.917","22.101","22.767","23.624","21.954"
"1691595975","21.531","21.675","22.241","21.910","22.094","22.753","23.584","21.958"
"1691595976","21.527","21.664","22.230","21.903","22.083","22.731","23.558","21.958"
"1691595977","21.528","21.660","22.227","21.892","22.072","22.720","23.533","21.958"
"1691595978","21.535","21.660","22.220","21.892","22.072","22.713","23.507","21.969"
"1691595979","21.539","21.664","22.214","21.896","22.067","22.696","23.473","21.973"
"1691595980","21.543","21.664","22.216","21.900","22.062","22.691","23.464","21.966"
"1691595981","21.528","21.654","22.205","21.889","22.051","22.673","23.431","21.963"
"1691595982","21.525","21.650","22.195","21.882","22.051","22.662","23.416","21.967"
"1691595983","21.548","21.654","22.188","21.879","22.037","22.637","23.361","21.971"
"1691595984","21.540","21.647","22.181","21.875","22.037","22.630","23.358","21.971"
"1691595985","21.537","21.651","22.166","21.875","22.015","22.622","23.340","21.975"
"1691595986","","","","","","","",""
"1691595987","","","","","","","",""
"1691595988","","","","","","","",""
"1691595989","","","","","","","",""
"1691595990","","","","","","","",""
"1691595991","","","","","","","",""
"1691595992","","","","","","","",""
"1691595993","","","","","","","",""
"1691595994","","","","","","","",""
"1691595995","","","","","","","",""
"1691595996","","","","","","","",""
"1691595997","","","","","","","",""
"1691595998","","","","","","","",""
"1691595999","","","","","","","",""
"1691596000","","","","","","","",""
"1691596001","","","","","","","",""
"1691596002","","","","","","","",""
"1691596003","","","","","","","",""
"1691596004","","","","","","","",""
"1691596005","","","","","","","",""
"1691596006","","","","","","","",""
"1691596007","","","","","","","",""
"1691596008","","","","","","","",""
"1691596009","","","","","","","",""
"1691596010","","","","","","","",""
"1691596011","","","","","","","",""
"1691596012","","","","","","","",""
"1691596013","","","","","","","",""
"1691596014","","","","","","","",""
"1691596015","","","","","","","",""
"1691596016","","","","","","","",""
"1691596017","","","","","","","",""
"1691596018","","","","","","","",""
"1691596019","","","","","","","",""
"1691596020","","","","","","","",""
"1691596021","","","","","","","",""
"1691596022","","","","","","","",""
"1691596023","","","","","","","",""
"1691596024","","","","","","","",""
"1691596025","","","","","","","",""
"1691596026","","","","","","","",""
"1691596027","","","","","","","",""
"1691596028","","","","","","","",""
"1691596029","","","","","","","",""
"1691596030","","","","","","","",""
"1691596031","","","","","","","",""
"1691596032","","","","","","","",""
"1691596033","","","","","","","",""
"1691596034","","","","","","","",""
"1691596035","","","","","","","",""
"1691596036","","","","","","","",""
"1691596037","","","","","","","",""
"1691596038","","","","","","","",""
"1691596039","","","","","","","",""
"1691596040","","","","","","","",""
"1691596041","","","","","","","",""
"1691596042","","","","","","","",""
"1691596043","","","","","","","",""
"1691596044","","","","","","","",""
"1691596045","","","","","","","",""
"1691596046","","","","","","","",""
"1691596047","","","","","","","",""
"1691596048","","","","","","","",""
"1691596049","","","","","","","",""
"1691596050","","","","","","","",""
"1691596051","","","","","","","",""
"1691596052","","","","","","","",""
"1691596053","","","","","","","",""
"1691596054","","","","","","","",""
"1691596055","","","","","","","",""
"1691596056","","","","","","","",""
"1691596057","","","","","","","",""
"1691596058","","","","","","","",""
"1691596059","","","","","","","",""
"1691596060","","","","","","","",""
"1691596061","","","","","","","",""
"1691596062","","","","","","","",""
"1691596063","","","","","","","",""
"1691596064","","","","","","","",""
"1691596065","","","","","","","",""
"1691596066","","","","","","","",""
"1691596067","","","","","","","",""
"1691596068","","","","","","","",""
"1691596069","","","","","","","",""
"1691596070","","","","","","","",""
"1691596071","","","","","","","",""
"1691596072","","","","","","","",""
"1691596073","","","","","","","",""
"1691596074","","","","","","","",""
"1691596075","","","","","","","",""
"1691596076","","","","","","","",""
"1691596077","","","","","","","",""
"1691596078","","","","","","","",""
"1691596079","","","","","","","",""
"1691596080","","","","","","","",""
"1691596081","","","","","","","",""
"1691596082","","","","","","","",""
"1691596083","","","","","","","",""
"1691596084","","","","","","","",""
"1691596085","","","","","","","",""
"1691596086","","","","","","","",""
"1691596087","","","","","","","",""
"1691596088","","","","","","","",""
"1691596089","","","","","","","",""
"1691596090","","","","","","","",""
"1691596091","","","","","","","",""
"1691596092","","","","","","","",""
"1691596093","","","","","","","",""
"1691596094","","","","","","","",""
"1691596095","","","","","","","",""
"1691596096","","","","","","","",""
"1691596097","","","","","","","",""
"1691596098","","","","","","","",""
"1691596099","","","","","","","",""
"1691596100","","","","","","","",""
"1691596101","","","","","","","",""
"1691596102","","","","","","","",""
"1691596103","","","","","","","",""
"1691596104","","","","","","","",""
"1691596105","","","","","","","",""
"1691596106","","","","","","","",""
"1691596107","","","","","","","",""
"1691596108","","","","","","","",""
"1691596109","","","","","","","",""
"1691596110","","","","","","","",""
"1691596111","","","","","","","",""
"1691596112","","","","","","","",""
"1691596113","","","","","","","",""
"1691596114","","","","","","","",""
"1691596115","","","","","","","",""
"1691596116","","","","","","","",""
"1691596117","","","","","","","",""
"1691596118","","","","","","","",""
"1691596119","","","","","","","",""
"1691596120","","","","","","","",""
"1691596121","","","","","","","",""
"1691596122","","","","","","","",""
"1691596123","","","","","","","",""
"1691596124","","","","","","","",""
"1691596125","","","","","","","",""
"1691596126","","","","","","","",""
"1691596127","","","","","","","",""
"1691596128","","","","","","","",""
"1691596129","","","","","","","",""
"1691596130","","","","","","","",""
"1691596131","","","","","","","",""
"1691596132","","","","","","","",""
"1691596133","","","","","","","",""
"1691596134","","","","","","","",""
"1691596135","","","","","","","",""
"1691596136","","","","","","","",""
"1691596137","","","","","","","",""
"1691596138","","","","","","","",""
"1691596139","","","","","","","",""
"1691596140","","","","","","","",""
"1691596141","","","","","","","",""
"1691596142","","","","","","","",""
"1691596143","","","","","","","",""
"1691596144","","","","","","","",""
"1691596145","","","","","","","",""
"1691596146","","","","","","","",""
"1691596147","","","","","","","",""
"1691596148","","","","","","","",""
"1691596149","","","","","","","",""
"1691596150","","","","","","","",""
"1691596151","","","","","","","",""
"1691596152","","","","","","","",""
"1691596153","","","","","","","",""
"1691596154","","","","","","","",""
"1691596155","","","","","","","",""
"1691596156","","","","","","","",""
"1691596157","","","","","","","",""
"1691596158","","","","","","","",""
"1691596159","","","","","","","",""
"1691596160","","","","","","","",""
"1691596161","","","","","","","",""
"1691596162","","","","","","","",""
"1691596163","","","","","","","",""
"1691596164","","","","","","","",""
"1691596165","","","","","","","",""
"1691596166","","","","","","","",""
"1691596167","","","","","","","",""
"1691596168","","","","","","","",""
"1691596169","","","","","","","",""
"1691596170","","","","","","","",""
"1691596171","","","","","","","",""
"1691596172","","","","","","","",""
"1691596173","","","","","","","",""
"1691596174","","","","","","","",""
"1691596175","","","","","","","",""
"1691596176","","","","","","","",""
"1691596177","","","","","","","",""
"1691596178","","","","","","","",""
"1691596179","","","","","","","",""
"1691596180","","","","","","","",""
"1691596181","","","","","","","",""
"1691596182","","","","","","","",""
"1691596183","","","","","","","",""
"1691596184","","","","","","","",""
"1691596185","","","","","","","",""
"1691596186","","","","","","","",""
"1691596187","","","","","","","",""
"1691596188","","","","","","","",""
"1691596189","","","","","","","",""
"1691596190","","","","","","","",""
"1691596191","","","","","","","",""
"1691596192","","","","","","","",""
"1691596193","","","","","","","",""
"1691596194","","","","","","","",""
"1691596195","","","","","","","",""
"1691596196","","","","","","","",""
"1691596197","","","","","","","",""
"1691596198","","","","","","","",""
"1691596199","","","","","","","",""
"1691596200","","","","","","","",""
"1691596201","","","","","","","",""
"1691596202","","","","","","","",""
"1691596203","","","","","","","",""
"1691596204","","","","","","","",""
"1691596205","","","","","","","",""
"1691596206","","","","","","","",""
"1691596207","","","","","","","",""
"1691596208","","","","","","","",""
"1691596209","","","","","","","",""
"1691596210","","","","","","","",""
"1691596211","","","","","","","",""
"1691596212","","","","","","","",""
"1691596213","","","","","","","",""
"1691596214","","","","","","","",""
"1691596215","","","","","","","",""
"1691596216","","","","","","","",""
"1691596217","","","","","","","",""
"1691596218","","","","","","","",""
"1691596219","","","","","","","",""
"1691596220","","","","","","","",""
"1691596221","","","","","","","",""
"1691596222","","","","","","","",""
"1691596223","","","","","","","",""
"1691596224","","","","","","","",""
"1691596225","","","","","","","",""
"1691596226","","","","","","","",""
"1691596227","","","","","","","",""
"1691596228","","","","","","","",""
"1691596229","","","","","","","",""
"1691596230","","","","","","","",""
"1691596231","","","","","","","",""
"1691596232","","","","","","","",""
"1691596233","","","","","","","",""
"1691596234","","","","","","","",""
"1691596235","","","","","","","",""
"1691596236","","","","","","","",""
"1691596237","","","","","","","",""
"1691596238","","","","","","","",""
"1691596239","","","","","","","",""
"1691596240","","","","","","","",""
"1691596241","","","","","","","",""
"1691596242","","","","","","","",""
"1691596243","","","","","","","",""
"1691596244","","","","","","","",""
"1691596245","","","","","","","",""
"1691596246","","","","","","","",""
"1691596247","","","","","","","",""
"1691596248","","","","","","","",""
"1691596249","","","","","","","",""
"1691596250","","","","","","","",""
"1691596251","","","","","","","",""
"1691596252","","","","","","","",""
"1691596253","","","","","","","",""
"1691596254","","","","","","","",""
"1691596255","","","","","","","",""
"1691596256","","","","","","","",""
"1691596257","","","","","","","",""
"1691596258","","","","","","","",""
"1691596259","","","","","","","",""
"1691596260","","","","","","","",""
"1691596261","","","","","","","",""
"1691596262","","","","","","","",""
"1691596263","","","","","","","",""
"1691596264","","","","","","","",""
"1691596265","","","","","","","",""
"1691596266","","","","","","","",""
"1691596267","","","","","","","",""
"1691596268","","","","","","","",""
"1691596269","","","","","","","",""
"1691596270","","","","","","","",""
"1691596271","","","","","","","",""
"1691596272","","","","","","","",""
"1691596273","","","","","","","",""
"1691596274","","","","","","","",""
"1691596275","","","","","","","",""
"1691596276","","","","","","","",""
"1691596277","","","","","","","",""
"1691596278","","","","","","","",""
"1691596279","","","","","","","",""
"1691596280","","","","","","","",""
"1691596281","","","","","","","",""
"1691596282","","","","","","","",""
"1691596283","","","","","","","",""
"1691596284","","","","","","","",""
"1691596285","","","","","","","",""
"1691596286","","","","","","","",""
"1691596287","","","","","","","",""
"1691596288","","","","","","","",""
"1691596289","","","","","","","",""
"1691596290","","","","","","","",""
"1691596291","","","","","","","",""
"1691596292","","","","","","","",""
"1691596293","","","","","","","",""
"1691596294","","","","","","","",""
"1691596295","","","","","","","",""
"1691596296","","","","","","","",""
"1691596297","","","","","","","",""
"1691596298","","","","","","","",""
"1691596299","","","","","","","",""
"1691596300","","","","","","","",""
"1691596301","","","","","","","",""
"1691596302","","","","","","","",""
"1691596303","","","","","","","",""
"1691596304","","","","","","","",""
"1691596305","","","","","","","",""
"1691596306","","","","","","","",""
"1691596307","","","","","","","",""
"1691596308","","","","","","","",""
"1691596309","","","","","","","",""
"1691596310","","","","","","","",""
"1691596311","","","","","","","",""
"1691596312","","","","","","","",""
"1691596313","","","","","","","",""
"1691596314","","","","","","","",""
"1691596315","","","","","","","",""
"1691596316","","","","","","","",""
"1691596317","","","","","","","",""
"1691596318","","","","","","","",""
"1691596319","","","","","","","",""
"1691596320","","","","","","","",""
"1691596321","","","","","","","",""
"1691596322","","","","","","","",""
"1691596323","","","","","","","",""
"1691596324","","","","","","","",""
"1691596325","","","","","","","",""
"1691596326","","","","","","","",""
"1691596327","","","","","","","",""
"1691596328","","","","","","","",""
"1691596329","","","","","","","",""
"1691596330","","","","","","","",""
"1691596331","","","","","","","",""
"1691596332","","","","","","","",""
"1691596333","","","","","","","",""
"1691596334","","","","","","","",""
"1691596335","","","","","","","",""
"1691596336","","","","","","","",""
"1691596337","","","","","","","",""
"1691596338","","","","","","","",""
"1691596339","","","","","","","",""
"1691596340","","","","","","","",""
"1691596341","","","","","","","",""
"1691596342","","","","","","","",""
"1691596343","","","","","","","",""
"1691596344","","","","","","","",""
"1691596345","","","","","","","",""
"1691596346","","","","","","","",""
"1691596347","","","","","","","",""
"1691596348","","","","","","","",""
"1691596349","","","","","","","",""
"1691596350","","","","","","","",""
"1691596351","","","","","","","",""
"1691596352","","","","","","","",""
"1691596353","","","","","","","",""
"1691596354","","","","","","","",""
"1691596355","","","","","","","",""
"1691596356","","","","","","","",""
"1691596357","","","","","","","",""
"1691596358","","","","","","","",""
"1691596359","","","","","","","",""
"1691596360","","","","","","","",""
"1691596361","","","","","","","",""
"1691596362","","","","","","","",""
"1691596363","","","","","","","",""
"1691596364","","","","","","","",""
"1691596365","","","","","","","",""
"1691596366","","","","","","","",""
"1691596367","","","","","","","",""
"1691596368","","","","","","","",""
"1691596369","","","","","","","",""
"1691596370","","","","","","","",""
"1691596371","","","","","","","",""
"1691596372","","","","","","","",""
"1691596373","","","","","","","",""
"1691596374","","","","","","","",""
"1691596375","","","","","","","",""
"1691596376","","","","","","","",""
"1691596377","","","","","","","",""
"1691596378","","","","","","","",""
"1691596379","","","","","","","",""
"1691596380","","","","","","","",""
"1691596381","","","","","","","",""
"1691596382","","","","","","","",""
"1691596383","","","","","","","",""
"1691596384","","","","","","","",""
"1691596385","","","","","","","",""
"1691596386","","","","","","","",""
"1691596387","","","","","","","",""
"1691596388","","","","","","","",""
"1691596389","","","","","","","",""
"1691596390","","","","","","","",""
"1691596391","","","","","","","",""
"1691596392","","","","","","","",""
"1691596393","","","","","","","",""
"1691596394","","","","","","","",""
"1691596395","","","","","","","",""
"1691596396","","","","","","","",""
"1691596397","","","","","","","",""
"1691596398","","","","","","","",""
"1691596399","","","","","","","",""
"1691596400","","","","","","","",""
"1691596401","","","","","","","",""
"1691596402","","","","","","","",""
"1691596403","","","","","","","",""
"1691596404","","","","","","","",""
"1691596405","","","","","","","",""
"1691596406","","","","","","","",""
"1691596407","","","","","","","",""
"1691596408","","","","","","","",""
"1691596409","","","","","","","",""
"1691596410","","","","","","","",""
"1691596411","","","","","","","",""
"1691596412","","","","","","","",""
"1691596413","","","","","","","",""
"1691596414","","","","","","","",""
"1691596415","","","","","","","",""
"1691596416","","","","","","","",""
"1691596417","","","","","","","",""
"1691596418","","","","","","","",""
"1691596419","","","","","","","",""
"1691596420","","","","","","","",""
"1691596421","","","","","","","",""
"1691596422","","","","","","","",""
"1691596423","","","","","","","",""
"1691596424","","","","","","","",""
"1691596425","","","","","","","",""
"1691596426","","","","","","","",""
"1691596427","","","","","","","",""
"1691596428","","","","","","","",""
"1691596429","","","","","","","",""
"1691596430","","","","","","","",""
"1691596431","","","","","","","",""
"1691596432","","","","","","","",""
"1691596433","","","","","","","",""
"1691596434","","","","","","","",""
"1691596435","","","","","","","",""
"1691596436","","","","","","","",""
"1691596437","","","","","","","",""
"1691596438","","","","","","","",""
"1691596439","","","","","","","",""
"1691596440","","","","","","","",""
"1691596441","","","","","","","",""
"1691596442","","","","","","","",""
"1691596443","","","","","","","",""
"1691596444","","","","","","","",""
"1691596445","","","","","","","",""
"1691596446","","","","","","","",""
"1691596447","","","","","","","",""
"1691596448","","","","","","","",""
"1691596449","","","","","","","",""
"1691596450","","","","","","","",""
"1691596451","","","","","","","",""
"1691596452","","","","","","","",""
"1691596453","","","","","","","",""
"1691596454","","","","","","","",""
"1691596455","","","","","","","",""
"1691596456","","","","","","","",""
"1691596457","","","","","","","",""
"1691596458","","","","","","","",""
"1691596459","","","","","","","",""
"1691596460","","","","","","","",""
"1691596461","","","","","","","",""
"1691596462","","","","","","","",""
"1691596463","","","","","","","",""
"1691596464","","","","","","","",""
"1691596465","","","","","","","",""
"1691596466","","","","","","","",""
"1691596467","","","","","","","",""
"1691596468","","","","","","","",""
"1691596469","","","","","","","",""
"1691596470","","","","","","","",""
"1691596471","","","","","","","",""
"1691596472","","","","","","","",""
"1691596473","","","","","","","",""
"1691596474","","","","","","","",""
"1691596475","","","","","","","",""
"1691596476","","","","","","","",""
"1691596477","","","","","","","",""
"1691596478","","","","","","","",""
"1691596479","","","","","","","",""
"1691596480","","","","","","","",""
"1691596481","","","","","","","",""
"1691596482","","","","","","","",""
"1691596483","","","","","","","",""
"1691596484","","","","","","","",""
"1691596485","","","","","","","",""
"1691596486","","","","","","","",""
"1691596487","","","","","","","",""
"1691596488","","","","","","","",""
"1691596489","","","","","","","",""
"1691596490","","","","","","","",""
"1691596491","","","","","","","",""
"1691596492","","","","","","","",""
"1691596493","","","","","","","",""
"1691596494","","","","","","","",""
"1691596495","","","","","","","",""
"1691596496","21.970","22.198","22.190","21.966","22.073","22.374","22.426","22.389"
"1691596497","21.977","22.224","22.190","21.970","22.073","22.378","22.433","22.393"
"1691596498","21.988","22.239","22.187","21.968","22.079","22.384","22.439","22.402"
"1691596499","22.000","22.250","22.184","21.971","22.078","22.385","22.446","22.405"
"1691596500","22.029","22.265","22.191","21.974","22.077","22.386","22.452","22.408"
"1691596501","22.037","22.276","22.176","21.978","22.077","22.390","22.452","22.401"
"1691596502","22.048","22.294","22.173","21.978","22.081","22.397","22.456","22.405"
"1691596503","22.070","22.335","22.169","21.978","22.074","22.405","22.449","22.394"
"1691596504","22.081","22.361","22.166","21.971","22.070","22.401","22.453","22.398"
"1691596505","22.100","22.405","22.159","21.975","22.074","22.398","22.453","22.420"
"1691596506","22.115","22.428","22.155","21.971","22.071","22.395","22.446","22.395"
"1691596507","22.119","22.435","22.148","21.968","22.071","22.402","22.450","22.404"
"1691596508","22.134","22.465","22.159","21.979","22.079","22.406","22.448","22.409"
"1691596509","22.134","22.483","22.160","21.987","22.082","22.395","22.447","22.414"
"1691596510","22.156","22.495","22.156","21.976","22.094","22.392","22.454","22.421"
"1691596511","22.175","22.532","22.164","21.991","22.105","22.406","22.480","22.447"
"1691596512","22.237","22.624","22.168","21.976","22.101","22.407","23.076","22.513"
"1691596513","22.326","22.723","22.186","21.980","22.109","22.410","23.595","22.569"
"1691596514","22.355","22.801","22.190","21.984","22.113","22.407","23.632","22.514"
"1691596515","22.345","22.793","22.179","21.984","22.113","22.414","23.496","22.499"
"1691596516","22.326","22.786","22.179","21.981","22.117","22.418","23.364","22.485"
"1691596517","22.334","22.794","22.176","21.992","22.124","22.422","23.254","22.455"
"1691596518","22.327","22.816","22.176","21.988","22.124","22.430","23.162","22.444"
"1691596519","22.349","22.846","22.183","21.999","22.139","22.441","23.096","22.448"
"1691596520","22.386","22.886","22.191","22.000","22.136","22.445","23.048","22.456"
"1691596521","22.404","22.901","22.187","21.996","22.132","22.445","23.000","22.449"
"1691596522","22.416","22.923","22.191","22.007","22.140","22.452","22.960","22.456"
"1691596523","22.453","22.986","22.206","22.019","22.155","22.464","22.902","22.449"
"1691596524","22.457","23.019","22.206","22.019","22.159","22.471","22.869","22.449"
"1691596525","22.468","23.034","22.203","22.024","22.168","22.470","22.826","22.446"
"1691596526","22.479","23.071","22.218","22.018","22.167","22.465","22.807","22.438"
"1691596527","22.490","23.082","22.210","22.012","22.166","22.460","22.788","22.431"
"1691596528","22.508","23.127","22.214","22.019","22.174","22.461","22.766","22.428"
"1691596529","22.523","23.149","22.211","22.027","22.181","22.472","22.751","22.435"
"1691596530","22.546","23.178","22.222","22.038","22.178","22.465","22.741","22.439"
"1691596531","22.571","23.204","22.215","22.034","22.181","22.468","22.726","22.428"
"1691596532","22.612","23.263","22.226","22.035","22.200","22.483","22.700","22.425"
"1691596533","22.638","23.297","22.237","22.049","22.211","22.494","22.697","22.436"
